Eng,Chi
Overture to Light Cavalry,歌劇《輕騎兵》序曲
Ching Sau-wing,程秀榮
Wu Siu-hin,胡兆軒
Cheng Chawen,鄭佳文
Sham Kin-yu,沈健榆
Zeng Qiujian,曾秋堅
Yu Wing-Ka,余穎嘉
Ng Hiu-hung,吳曉紅
Kuan Nai-chung,關迺忠
Ritual for a Bumper Harvest (Orchestra),豐年祭(合奏)
Koo Kar-fai,顧嘉煇
TV Themes Suite (Orchestra),電視主題曲組曲(合奏)
Zhou Yugao,周煜國
,雷光耀
To the Spring Fair (Orchestra),趕街(合奏)
Zheng Lu,鄭路
,馬洪業
Rejoice in Peace (Orchestra),昇平樂(合奏)
The Moon Rises High (Pipa Solo,月兒高(琵琶獨奏
