Eng,Chi
FARIDA BATOOL,法麗達巴圖
LAURA BOUSHNAK,羅拉鮑薩
GOHAR DASHTI,歌夏達斯蒂
RENA EFFENDI,蓮娜芬迪
SHADI GHADIRIAN,沙迪加迪亞利安
FARZANA HOSSEN,花薩娜荷森
PHYU MON,芙敏
SOPHAL NEAK,蘇富雅妮可
KAT PALASI,吉葩拉斯
FARZANA WAHIDY,花薩娜華希迪
Ho Fan,何藩
,黃妙馨
,黃國澄
Kwok Hon Sum,郭漢深
Ha Bik Chuen,夏碧泉
Leung Tung Choi,梁棟材
,劉金芝
Lau Kam Chee,陳君立
Chan Kwan Lap,楊國芬
Yeung Kwok Fan,派瑞芬
Nina Pryde,岑苑樺
Shum Yuen Wah,蕭柏強
Hong Ngan Ping,陳燕雲
Siu Pak Keung,陳澤輝
Chan Yin Wan,杜之外
Rick Chan,簡志雄
Jiwye To,黃惠強
Kan Chi Hung,游梅珍
Wong Wai Keung,葉世琼
Yau Mui Chun,高杏娟
Ip Sai King,阮國光
Ko Hang Kuen,
Chiang Yu Ting,
Yuen Kwok Kwong,
Kiyoko Yamaguchi,
KC Kwan,Romain Jacquet-Lagrèze
Nick Poon,關錦昌
Romain Jacquet-Lagrèze,潘以正
Tracey Emin,
Teresita Fernandez,
Angel Otero,
Juergen Teller,
ZHAO Zhao,赵赵
HSU Yu-Jen,許雨仁
Jeff Koons,傑夫‧昆斯
Antoine ABI ADD,
Zhu Yiyong,朱毅勇
Ye-Feng Wang,王業豐
Samson YOUNG,楊嘉輝
Wan Yang,
Vicky Ng,吳瑋琪
Eileen Chan,
Cai Xiaosong,蔡小松
Mo Yi,莫毅
Wang Min,王旻
Kassia Ko,高杏娟
Raghu Rai,洛古雷
Irina Kotova,
Sarah Lai,黎卓華
CHAN Sai-lok,阿三
HAO Lap-yan Benjamin,郝立仁
Alexander Zakharov,
Students of BA(hons) in Interactive Media,
Eric Tsang and Solomon Yu,
Eric Baudart,
Jeremy Everett,
Ko Sin Tung,
Nuri Kuzucan,
Joao Vasco Paiva,
Julieta Aranda,Julieta Aranda
Rosa Barba,Rosa Barba
Alvaro Barrios,Alvaro Barrios
Katsushika Hokusai,葛飾北齋
Takiji Kobayashi,小林多喜二
Charles Lim,林育榮
Howie Tsui,徐浩恩
Ming Wong (in collaboration with Thomas Tsang,黃漢明和合作夥伴曾慶豪
Dehow Projects),Dehow Projects
Zheng Guogu,鄭國谷
Parry Ling,
,徐冰
CHAN Pui Leng,陳佩玲
Peggy,
CHAN Yung Hei,陳雍希
HONG Yong Si,洪詠斯
KONG Yuen Ying,江苑盈
MOK Pui Yu,莫珮諭
Ivy Ma,馬琼珠
Yayoi Kusama,草間彌生
Yoshitomo Nara,奈良美智
Aya Takano,高野綾
Murakami Takashi,村上隆
Shiraga Kazuo,白髮一雄
Jeff Elrod,
Jieun Park,
John Clang,汪春龍
John Fung,
Cheng Mei Lun,鄭美倫
Ho Hang Yi,何幸兒
Leung Ching Mei,梁靜美
Mok Ting-yan,莫亭殷
Hui Sze Lok,許思樂
Suen Luen,孫煖
Chan Yi Ting,
Chong Ting Hong,
Chu Chin Ching,
Mok Hui Tung,
Yeung Wing San,
Yeung Whn Yan,
,賽馬會體藝中學
,救恩書院
,天主教普照中學
,玫瑰崗學校
,南亞路德會沐恩中學
,聖士提反書院
,風采中學
,香港四邑商工總會陳南昌紀念中學
,樂善堂王仲銘中學
,鄧肇堅維多利亞官立中學
Evgenia Knyazeva,
Cui Xinming,崔新明
JR,
Ju Ming,朱銘
Aisha Moon Johnson,
Kacey Wong,
Ricardo Maza,
Kan Kit-keung,
Wang Chienyang,王建揚
Kazuo Shiraga,
Keita Matsunaga,
Kenji Omori,
Taka,
Justin Wong,黃照達
Chow Yiu-fai,周耀輝
Naoto Fukasawa,
Chung Doo-Hwa,Chung Doo-Hwa
